cuneichar,cuneicharAltLabel,cuneicharLabel,phoneticValues,oslIDs
http://www.wikidata.org/entity/Q87555987,"CUNEIFORM SIGN LAGAR TIMES SHE, U+121ED",𒇭,"su₇, sug₈, sul₄, sur₁₂, sura₁₂",o0001853
http://www.wikidata.org/entity/Q87555379,"CUNEIFORM SIGN GA2 TIMES DA, U+120C3",𒃃,"dan₇, tan₇",o0001292
http://www.wikidata.org/entity/Q87555380,"CUNEIFORM SIGN GA2 TIMES DI, U+120C4",𒃄,"edi, gadi",o0001295
http://www.wikidata.org/entity/Q87555386,"CUNEIFORM SIGN GA2 TIMES EL, U+120C7",𒃇,ŋasikillaₓ,o0001297
http://www.wikidata.org/entity/Q87555801,"Dan, GURUŠ, kal, CUNEIFORM SIGN KAL, U+12197",𒆗,"tan, kala, lab, rip, dan, kal, lamar, rib, rep, reb, lap, rub, esi, kalag, alad₂, silim₂, lamassu, baštum, dana₃, dannu, dun₆, ešaₓ, esig, eṭlu, gal₉, kalaga, kalga, la₆, lala₂, lama₃, lamma, lammar, lib₂, lip₂, nir₆, qal₄, rab₄, sa₁₄, sag₈, šedu, seg₁₅, si₂₁, sig₁₅, silima₂, sun₇, sunaₓ, ṣurṣub₂, ṭan, urrub₂, ursub₂, zi₈, zurzub₂",o0000270
http://www.wikidata.org/entity/Q87555321,"CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL, U+120A4",𒂤,"asil₄, asila₄, asilal₄, sil₉",o0001100
http://www.wikidata.org/entity/Q87556580,"CUNEIFORM SIGN UN GUNU, U+12327",𒌧,kalamₓ,o0000575
http://www.wikidata.org/entity/Q87556586,"CUNEIFORM SIGN UR SHESHIG, U+1232A",𒌪,"dul₉, šudul₄, šudul₅, šudun₅, šutul₅, šutun₅, ṭul₄, tul₇",o0000578
http://www.wikidata.org/entity/Q87556003,"CUNEIFORM SIGN LAM TIMES KUR, U+121F5",𒇵,"eš₂₂, arad₃, ešuₓ, iš₁₁, lam₇",o0001906
http://www.wikidata.org/entity/Q87556009,"CUNEIFORM SIGN LIL, U+121F8",𒇸,"lil, il₉, kurₓ, sukuₓ",o0000426
http://www.wikidata.org/entity/Q87555408,"CUNEIFORM SIGN GA2 TIMES HAL, U+120D2",𒃒,ŋahallaₓ,o0001307
http://www.wikidata.org/entity/Q87556621,"CUNEIFORM SIGN URU TIMES ASHGAB, U+12339",𒌹,,o0002554
http://www.wikidata.org/entity/Q87556606,"CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH, U+12332",𒌲,"murum₄, muru₄, ur₉, uru₇, urum₂, ušbar₃, ušbur₃",o0002586
http://www.wikidata.org/entity/Q87555110,"Aš, cuneiform sign ASH, CUNEIFORM SIGN ASH, U+12038",𒀸,"dil, ina, rum, dili, santag, del, dele, santa, deli, aš, aša, 1(aš), ana₃, as₃, aṣ₃, ašša, az₃, dal₃, deš₂, diš₂, eš₂₀, ge₁₅, geš₄, in₆, liri₂, liru₂, lirum₂, makaš₂, makkaš₂, ram₂, rim₅, ru₃, sagtag, sagtak, salugub, santak, saŋtak, simed, šup₂, tal₃, teš, ṭil, til₄",o0000104
http://www.wikidata.org/entity/Q87556634,"CUNEIFORM SIGN URU TIMES GAR, U+1233F",𒌿,"erim₃, erimmaₓ, erin₃, irimma",o0002562
http://www.wikidata.org/entity/Q87555359,"CUNEIFORM SIGN GA2 TIMES A PLUS HA, U+120B9",𒂹,,o0001246
http://www.wikidata.org/entity/Q87555423,"CUNEIFORM SIGN GA2 TIMES KID, U+120DA",𒃚,ŋalillaₓ,o0001312
http://www.wikidata.org/entity/Q87555427,"CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN, U+120DC",𒃜,"eazag, gazag, gaʾazag, ŋasag",o0001269
http://www.wikidata.org/entity/Q87556641,"CUNEIFORM SIGN URU TIMES IM, U+12343",𒍃,bunₓ,o0002567
