oslid,csign,Actual,csignLabel,validLabel(T_F),cdli_label
o0027970,http://www.wikidata.org/entity/Q125092351,𒂷×𒁴,CUNEIFORM SIGN GA2 TIMES DIM (𒂷 × 𒁴),,
o0027791,http://www.wikidata.org/entity/Q125092406,𒂷×𒃵,CUNEIFORM SIGN GA2 TIMES GAM (𒂷 × 𒃵),,
,http://www.wikidata.org/entity/Q123262705,𒂷×𒄫,CUNEIFORM SIGN GA2 TIMES GIR (𒂷 × 𒄫),,
,http://www.wikidata.org/entity/Q123156840,𒂷×𒄕,CUNEIFORM SIGN GA2 TIMES GISH TENU (𒂷 × 𒄕),,
,http://www.wikidata.org/entity/Q123301285,𒂷×𒄞×𒂠,CUNEIFORM SIGN GA2 TIMES GU4 TIMES SHE3 (𒂷 × 𒄞 × 𒂠),,
,http://www.wikidata.org/entity/Q122937571,𒂷×𒄩𒄩,CUNEIFORM SIGN GA2 TIMES HA.HA (𒂷 × (𒄩 & 𒄩)),,
,http://www.wikidata.org/entity/Q123156980,𒂷×𒄭,CUNEIFORM SIGN GA2 TIMES HI (𒂷 × 𒄭),,
,http://www.wikidata.org/entity/Q123226614,𒂷×𒄭×𒋦,CUNEIFORM SIGN GA2 TIMES HI TIMES SUHUR (𒂷 × 𒄭 × 𒋦),,
o0027976,http://www.wikidata.org/entity/Q125092462,𒂷×𒅍,CUNEIFORM SIGN GA2 TIMES IL2 (𒂷 × 𒅍),,
,http://www.wikidata.org/entity/Q123157520,𒂷×𒆬,CUNEIFORM SIGN GA2 TIMES KU3 (𒂷 × 𒆬),,
,http://www.wikidata.org/entity/Q123157541,𒂷×𒆳,CUNEIFORM SIGN GA2 TIMES KUR (𒂷 × 𒆳),,
o0022953,http://www.wikidata.org/entity/Q122915030,𒂷×𒇷,CUNEIFORM SIGN GA2 TIMES LI (𒂷 × 𒇷),,
,http://www.wikidata.org/entity/Q123157557,𒂷×𒈦,CUNEIFORM SIGN GA2 TIMES MASH (𒂷 × 𒈦),,
,http://www.wikidata.org/entity/Q123157569,𒂷×𒉀,CUNEIFORM SIGN GA2 TIMES NAGA (𒂷 × 𒉀),,
,http://www.wikidata.org/entity/Q123157580,𒂷×𒉌,CUNEIFORM SIGN GA2 TIMES NI (𒂷 × 𒉌),,
,http://www.wikidata.org/entity/Q121508538,𒂷×𒉡,CUNEIFORM SIGN GA2 TIMES NU (𒂷 × 𒉡),,
,http://www.wikidata.org/entity/Q122937935,𒂷×𒊩𒆳,CUNEIFORM SIGN GA2 TIMES SAL.KUR (𒂷 × (𒊩 & 𒆳)),,
,http://www.wikidata.org/entity/Q121508668,𒂷×𒋙,CUNEIFORM SIGN GA2 TIMES SHU2 (𒂷 × 𒋙),,
o0027693,http://www.wikidata.org/entity/Q122937980,𒂷×𒋡,CUNEIFORM SIGN GA2 TIMES SILA3 (𒂷 × 𒋡),,
,http://www.wikidata.org/entity/Q123157589,𒂷×𒋦,CUNEIFORM SIGN GA2 TIMES SUHUR (𒂷 × 𒋦),,
,http://www.wikidata.org/entity/Q123157622,𒂷×𒋨,CUNEIFORM SIGN GA2 TIMES SUMASH (𒂷 × 𒋨),,
